name,callsign,wiki,imo,mmsi,cruise_line,major_cruise_line,year_built,class,gross_tonnage,decks,capacity,length,vessel_type,flag,home_port
Wind Surf,C6IO6,https://en.wikipedia.org/wiki/Wind_Surf_(ship),,,1990–1998: Club Med1998 onwards: Windstar Cruises,Other,1990,,,8,386,187,,,
Marco Polo,C6JZ7,https://en.wikipedia.org/wiki/MS_Marco_Polo,6417097,308693000,1965–1980?: Baltic Shipping Company[1]1979?–1984: Transocean Tours[4]1985: Far Eastern Shipping Company1985–19??:CTC Cruises1990–1993: laid up/rebuilt1993–2008: Orient Lines[1]2008–2010: Transocean Tours[5]2010 onwards: Cruise & Maritime Voyages[6],Other,1964,Ivan Franko-class passenger ship → Ocean liner,22080,,820,176.28,passengers ship,BAHAMAS,nassau
Seabourn Quest,C6YZ5,https://en.wikipedia.org/wiki/MV_Seabourn_Quest,9483126,311038900,Seabourn Cruise Line,Other,2011,Seabourn Odyssey class,32477,11,450,198.15,passengers ship,BAHAMAS,nassau
Oriana,ZCDU9,https://en.wikipedia.org/wiki/MV_Oriana_(1995),9050137,310529000,P&O Cruises,Other,1995,,69840,10,,260,passengers ship,BERMUDA,hamilton
European Causeway,C6RG7,https://en.wikipedia.org/wiki/MV_European_Causeway,9208394,311027000,P&O Ferries,Other,2000,,20646,,410,156.2,ro,BAHAMAS,nassau
Sensation,C6FM8,https://en.wikipedia.org/wiki/Carnival_Sensation,8711356,309697000,Carnival Cruise Lines,Carnival Cruise Line,1993,Fantasy-class cruise ship,70538,10,2056,69,passengers ship,BAHAMAS,nassau
Carnival Pride,H3VU,https://en.wikipedia.org/wiki/Carnival_Pride,9223954,354215000,Carnival Cruise Lines,Carnival Cruise Line,2001,Spirit-class cruise ship,85920,12,2124,,passengers ship,PANAMA,
Celebrity Mercury,9HJG9,https://en.wikipedia.org/wiki/Mein_Schiff_2,9106302,249053000,1997–2011: Celebrity Cruises2011 onwards: TUI Cruises,Celebrity Cruises,1997,Century-class cruise ship,77302,12,1886,,passengers ship,MALTA,valletta
Sapphire Princess,ZCDG7,https://en.wikipedia.org/wiki/Sapphire_Princess,9228186,235103357,Princess Cruises,Princess Cruises,2004,,115875,13,2670,290,passengers ship,UNITED KINGDOM,
Carnival Conquest,3FPQ9,https://en.wikipedia.org/wiki/Carnival_Conquest,9198355,357657000,Carnival Cruise Line,Carnival Cruise Line,2002,Conquest-class cruise ship,110239,13,2974,,passengers ship,PANAMA,
Spirit Of Glacier Bay,WDD4938,https://en.wikipedia.org/wiki/Spirit_of_Glacier_Bay,8883563,367645050,Cruise West,Other,1984,,1471,,102,52.578,passengers ship,USA,
Celebrity Silhouette,9HA2583,https://en.wikipedia.org/wiki/Celebrity_Silhouette,9451094,248939000,Celebrity Cruises,Celebrity Cruises,2011,Solstice-class cruise ship,122210,,2886,315,passengers ship,MALTA,valletta
Celebrity Summit,9HJC9,https://en.wikipedia.org/wiki/Celebrity_Summit,9192387,249047000,Celebrity Cruises,Celebrity Cruises,,Millennium-class cruise ship,90940,11,2158,294,passengers ship,MALTA,valletta
Sovereign,9HUE9,https://en.wikipedia.org/wiki/MS_Sovereign,8512281,249539000,Pullmantur CruisesRoyal Caribbean International,Royal Caribbean International,1988,Sovereign-class cruise ship,73529,,2850,268.33,passengers ship,MALTA,valletta
Splendour Of The Seas,C6TZ9,https://en.wikipedia.org/wiki/TUI_Discovery,9070632,249639000,1995–2016 Royal Caribbean International2016–Present: TUI Cruises/Thomson Cruises,Royal Caribbean International,1996,Vision-class cruise ship,69472,11,2076,264,passengers ship,MALTA,valletta
Stena Explorer,MVBD8,https://en.wikipedia.org/wiki/HSC_One_World_Karadeniz,9080194,232002562,Karadeniz Holding,Other,1996,HSS 1500,19638,,1500,125,ro,UNITED KINGDOM,monrovia
Oceanic,9HOE8,https://en.wikipedia.org/wiki/SS_Oceanic_(1965),5260679,,1965—1986: Home Lines1986—2000: Premier Cruises2001—2009: Pullmantur Cruises[1]2009-2012: Peace Boat[2],Other,1963,,38772,10,1800,238.44,passengers ship,PANAMA,
Saga Sapphire,9HOF8,https://en.wikipedia.org/wiki/MS_Saga_Sapphire,7822457,256208000,1981–1999: Hapag-Lloyd1999–2004; Star Cruises2004–2008: Pullmantur Cruises2008–2011: CDF Croisières de France[1]2011 onwards: Saga,Other,1982,,37049,12,752,199.63,passengers ship,MALTA,valletta
Aurora,ZCDW9,https://en.wikipedia.org/wiki/MV_Aurora_(2000),9169524,310556000,P&O Cruises,Other,2000,,76152,10,1878,270,passengers ship,BERMUDA,hamilton
Disney Magic,C6PT7,https://en.wikipedia.org/wiki/Disney_Magic,9126807,308516000,Disney Cruise Line,Disney Cruises,1998,Magic-class (Disney) [1],83969,11,2700,,passengers ship,BAHAMAS,nassau
Norwegian Getaway,C6ZJ4,https://en.wikipedia.org/wiki/Norwegian_Getaway,9606924,311050900,Norwegian Cruise Line,Norwegian Cruise Line,2014,,145655,18,,326,passengers ship,BAHAMAS,nassau
Bremen,C6JC3,https://en.wikipedia.org/wiki/Bremen,,,,Other,,,,,,,,,
Pride Of Canterbury,MPQZ6,https://en.wikipedia.org/wiki/MS_Pride_of_Canterbury,9007295,232001060,P&O European Ferries,Other,1992,,30635,,200,180,ro,UNITED KINGDOM,dover
M/V Aurora,WYM9567,https://en.wikipedia.org/wiki/MV_Aurora_(1977),7502332,338205000,Alaska Marine Highway System,Other,1977,,3124,,250,,ro,USA,hoonah ak
Dawn Princess,ZCBU2,https://en.wikipedia.org/wiki/Pacific_Explorer,9103996,232006603,P&O Cruises Australia,Other,1997,Sun-class cruise ship,77441,10,1998,,passengers ship,UNITED KINGDOM,hamilton
Christina O,C6FN7,https://en.wikipedia.org/wiki/Silver_Whisper,9192179,308322000,Silversea Cruises,Silversea Cruises,2000,,28258,10,382,186,passengers ship,BAHAMAS,nassau
Norwegian Spirit,C6TQ6,https://en.wikipedia.org/wiki/Norwegian_Spirit,9141065,311746000,1998–2004: Star Cruises2004–present: Norwegian Cruise Line,Norwegian Cruise Line,1998,Leo-class cruise ship,75904,14,1996,,passengers ship,BAHAMAS,nassau
Carnival Victory,3FFL8,https://en.wikipedia.org/wiki/Carnival_Victory,9172648,355263000,Carnival Cruise Line,Carnival Cruise Line,2000,Destiny-class cruise ship,101509,13,,,passengers ship,PANAMA,
Costa Magica,IBQQ,https://en.wikipedia.org/wiki/Costa_Magica,9239795,247113300,Costa Crociere,Costa Crociere,2004,Fortuna-class cruise ship,102587,13,3470,271,passengers ship,ITALY,genova
